didok,stationsbezeichnung,service,Mail,Firma,Postfach,Adresse,Nummer,PLZ,Ort,Land,geopos,ID
3101,Küsnacht ZH,"Billette, Abonnemente, Freizeitangebote",reisebuero.kuesnacht-zh@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,1,8700,Küsnacht ZH,,"47.3191528026, 8.58061588761",21
3102,Erlenbach ZH,Geldwechsel,reisebuero.erlenbachzh@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,,8703,Erlenbach,,"47.3057853122, 8.59150489466",22
3103,Herrliberg-Feldmeilen,Eventtickets,bahnhof.herrliberg-f@sbb.ch,Schweizerische Bundesbahnen SBB,,General Wille Strasse,29,8706,Feldmeilen,,"47.2818232851, 8.61271954112",23
3104,Meilen,Western Union,reisebuero.meilen@sbb.ch,Schweizerische Bundesbahnen SBB,,Dorfstrasse,103,8706,Meilen,,"47.2698122, 8.64429304135",24
3105,Uetikon,Drittverkauf,migrolino.uetikonamsee@migrolino.com,,,,,,,,"47.2590294057, 8.678774746",25
3106,Männedorf,"Billette, Abonnemente, Freizeitangebote",reisebuero.maennedorf@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,17,8708,Männedorf,,"47.2534223208, 8.69233239506",26
3107,Stäfa,Eventtickets,reisebuero.staefa@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,25,8712,Stäfa,,"47.2405237212, 8.72163122186",27
3107,Stäfa,Gepäck,reisebuero.staefa@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,25,8712,Stäfa,,"47.2405237212, 8.72163122186",28
3110,Rapperswil,Eventtickets,billettschalter.rapperswil@sbb.ch,Schweizerische Bundesbahnen SBB,1130,Bahnhofplatz 2,,8640,Rapperswil,,"47.2248877672, 8.81673057998",29
3110,Rapperswil,Geldwechsel,billettschalter.rapperswil@sbb.ch,Schweizerische Bundesbahnen SBB,1130,Bahnhofplatz 2,,8640,Rapperswil,,"47.2248877672, 8.81673057998",30
3110,Rapperswil,Gepäck,billettschalter.rapperswil@sbb.ch,Schweizerische Bundesbahnen SBB,1130,Bahnhofplatz 2,,8640,Rapperswil,,"47.2248877672, 8.81673057998",31
3121,Rüti ZH,"Billette, Abonnemente, Freizeitangebote",bahnhof.rueti@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,11,8630,Rüti ZH,,"47.2604821005, 8.8540677825",32
3121,Rüti ZH,Eventtickets,bahnhof.rueti@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,11,8630,Rüti ZH,,"47.2604821005, 8.8540677825",33
3122,Bubikon,Geldwechsel,bahnhof.bubikon@sbb.ch,Schweizerische Bundesbahnen SBB,,Ritterhausstrasse,1,8608,Bubikon,,"47.2708395927, 8.82270102308",34
3122,Bubikon,Gepäck,bahnhof.bubikon@sbb.ch,Schweizerische Bundesbahnen SBB,,Ritterhausstrasse,1,8608,Bubikon,,"47.2708395927, 8.82270102308",35
3123,Wetzikon,"Billette, Abonnemente, Freizeitangebote",billettschalter.wetzikon@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,1,8620,Wetzikon,,"47.3180331432, 8.79226951209",36
3123,Wetzikon,Gepäckaufbewahrung,billettschalter.wetzikon@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,1,8620,Wetzikon,,"47.3180331432, 8.79226951209",37
3128,Dübendorf,Geldwechsel,,Schweizerische Bundesbahnen SBB,,Bettlistrasse,1,8600,Dübendorf,,"47.4000750283, 8.62340719058",38
3130,Hinwil,Eventtickets,bahnhof.hinwil@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,1,8340,Hinwil,,"47.3000509, 8.83969785564",39
3138,Wald,Gepäckaufbewahrung,wald@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,41,8636,Wald,,"47.2726849167, 8.91398907071",40
3200,Kilchberg,Eventtickets,bahnhof.kilchberg@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,2,8802,Kilchberg,,"47.3244274064, 8.54799908563",41
3200,Kilchberg,Geldwechsel,bahnhof.kilchberg@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,2,8802,Kilchberg,,"47.3244274064, 8.54799908563",42
3202,Thalwil,"Billette, Abonnemente, Freizeitangebote",bahnhof.thalwil@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,21,8800,Thalwil,,"47.2959747213, 8.56475556229",43
3202,Thalwil,Gepäckaufbewahrung,bahnhof.thalwil@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,21,8800,Thalwil,,"47.2959747213, 8.56475556229",44
3204,Horgen,"Billette, Abonnemente, Freizeitangebote",bahnhof.horgen@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,5,8810,Horgen,,"47.2614824887, 8.59690458831",45
3206,Wädenswil,Check-in am Bahnhof,bahnhof.waedenswil@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,4,8820,Wädenswil,,"47.2293011038, 8.67519275897",46
3207,Richterswil,"Billette, Abonnemente, Freizeitangebote",bahnhof.richterswil@sbb.ch,Schweizerische Bundesbahnen SBB,,Seestrasse,20,8805,Richterswil,,"47.2083677131, 8.70746042267",47
3209,Pfäffikon SZ,"Billette, Abonnemente, Freizeitangebote",bahnhof.pfaeffikon-sz@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnweg,4,8808,Pfäffikon SZ,,"47.2029974467, 8.77811068503",48
3209,Pfäffikon SZ,Gepäck,bahnhof.pfaeffikon-sz@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnweg,4,8808,Pfäffikon SZ,,"47.2029974467, 8.77811068503",49
3220,Lachen,"Billette, Abonnemente, Freizeitangebote",reisebuero.lachen@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,1,8853,Lachen,CH,"47.190068574, 8.85269238166",50
3220,Lachen,Eventtickets,reisebuero.lachen@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,1,8853,Lachen,CH,"47.190068574, 8.85269238166",51
3220,Lachen,Western Union,reisebuero.lachen@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,1,8853,Lachen,CH,"47.190068574, 8.85269238166",52
3221,Siebnen-Wangen,Geldwechsel,reisebuero.siebnen-wangen@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,1,8854,Siebnen,CH,"47.1826674891, 8.90069892838",53
3221,Siebnen-Wangen,Western Union,reisebuero.siebnen-wangen@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,1,8854,Siebnen,CH,"47.1826674891, 8.90069892838",54
3225,Ziegelbrücke,Western Union,reisebuero.ziegelbruecke@sbb.ch,Schweizerische Bundesbahnen SBB,,Ziegelbrückstrasse,121,8866,Ziegelbrücke,Schweiz,"47.1361516592, 9.06003718984",55
3283,Einsiedeln,Eventtickets,einsiedeln@sob.ch,Schweizerische Südostbahn AG,440,,,8840,Einsiedeln,,"47.1285821379, 8.74446828516",56
3283,Einsiedeln,Gepäckaufbewahrung,einsiedeln@sob.ch,Schweizerische Südostbahn AG,440,,,8840,Einsiedeln,,"47.1285821379, 8.74446828516",57
3301,Pfäffikon ZH,Eventtickets,reisebuero.pfaeffikon-zh@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,11,,8330 Pfäffikon ZH,,"47.3670842127, 8.78477640275",58
3302,Fehraltorf,Western Union,bahnhof.fehraltorf@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,37,8320,Fehraltorf,,"47.3851215525, 8.75026509676",59
3308,Kloten,Eventtickets,reisebuero.kloten@sbb.ch,Schweizerische Bundesbahnen SBB,,Lindenstrasse,10,8302,Kloten,,"47.4486070251, 8.58379121249",60
3310,Glattbrugg,"Billette, Abonnemente, Freizeitangebote",reisebuero.glattbrugg@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,1,8152,Glattbrugg,,"47.4308254769, 8.55883224276",61
3310,Glattbrugg,Geldwechsel,reisebuero.glattbrugg@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,1,8152,Glattbrugg,,"47.4308254769, 8.55883224276",62
3310,Glattbrugg,Western Union,reisebuero.glattbrugg@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,1,8152,Glattbrugg,,"47.4308254769, 8.55883224276",63
3315,Dielsdorf,Geldwechsel,reisebuero.dielsdorf@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,48,8157,Dielsdorf,,"47.4824133475, 8.45942183431",64
3315,Dielsdorf,Western Union,reisebuero.dielsdorf@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,48,8157,Dielsdorf,,"47.4824133475, 8.45942183431",65
3400,Bülach,DHL / PickPost,reisebuero.buelach@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,55,8180,Bülach,Schweiz,"47.5239413008, 8.53618858988",66
3400,Bülach,Western Union,reisebuero.buelach@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,55,8180,Bülach,Schweiz,"47.5239413008, 8.53618858988",67
3409,Bad Zurzach,"Billette, Abonnemente, Freizeitangebote",bahnhof.badzurzach@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,7,5330,Bad Zurzach,Schweiz,"47.5883101087, 8.29556465398",68
3409,Bad Zurzach,Gepäckaufbewahrung,bahnhof.badzurzach@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,7,5330,Bad Zurzach,Schweiz,"47.5883101087, 8.29556465398",69
3424,Schaffhausen,Eventtickets,gepaeck.schaffhausen@sbb.ch,Schweizerische Bundesbahnen SBB,Postfach 126,,,8201,Schaffhausen,Schweiz,"47.6982814692, 8.6327284859",70
3503,Turgi,"Billette, Abonnemente, Freizeitangebote",bahnhof.turgi@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,40,5300,Turgi,,"47.4917545162, 8.25344123675",71
3503,Turgi,Gepäckaufbewahrung,bahnhof.turgi@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,40,5300,Turgi,,"47.4917545162, 8.25344123675",72
3504,Baden,Fundservice,bahnhof.baden@sbb.ch,Schweizerische Bundesbahnen SBB,,Metro-Shop,,5401,Baden,CH,"47.476420225, 8.3076927631",73
3504,Baden,Western Union,bahnhof.baden@sbb.ch,Schweizerische Bundesbahnen SBB,,Metro-Shop,,5401,Baden,CH,"47.476420225, 8.3076927631",74
3505,Wettingen,"Billette, Abonnemente, Freizeitangebote",bahnhof.wettingen@sbb.ch,Schweizerische Bundesbahnen SBB,,Güterstrasse,12,5430,Wettingen,,"47.4596367944, 8.3159863528",75
3505,Wettingen,Geldwechsel,bahnhof.wettingen@sbb.ch,Schweizerische Bundesbahnen SBB,,Güterstrasse,12,5430,Wettingen,,"47.4596367944, 8.3159863528",76
3509,Schlieren,Geldwechsel,reisebuero.schlieren@sbb.ch,Schweizerische Bundesbahnen SBB,,Güterstrasse,2,8952,Schlieren,,"47.3991743125, 8.44722881452",77
4014,Palézieux,Gepäck,palezieux.voyageurs@sbb.ch,Chemins de fer fédéraux suisse CFF,,Rue de la Gare,5,1607,Palézieux,Suisse,"46.5427523751, 6.83787768542",78
4062,Châtel-St-Denis,"Billette, Abonnemente, Freizeitangebote",gare.chatel_st-denis@rail.ch,,,,,,,,"46.5261372928, 6.89874553473",79
4100,Fribourg/Freiburg,Velovermietung,v.fribourg@cff.ch,Chemins de fer fédéraux suisse CFF,,Place de la Gare,1,1700,Fribourg,,"46.8032670642, 7.15102324519",80
4134,Payerne,"Billette, Abonnemente, Freizeitangebote",agencedevoyages.payerne@sbb.ch,Chemins de fer fédéraux suisse CFF,,Rue de la Gare 14,,1530,Payerne,,"46.8196387484, 6.93987910663",81
4134,Payerne,Geldwechsel,agencedevoyages.payerne@sbb.ch,Chemins de fer fédéraux suisse CFF,,Rue de la Gare 14,,1530,Payerne,,"46.8196387484, 6.93987910663",82
4134,Payerne,Gepäck,agencedevoyages.payerne@sbb.ch,Chemins de fer fédéraux suisse CFF,,Rue de la Gare 14,,1530,Payerne,,"46.8196387484, 6.93987910663",83
4200,Yverdon-les-Bains,Fundservice,,Chemins de fer fédéraux suisse CFF,,avenue de la Gare,8,1400,Yverdon-les-Bains,Suisse,"46.781876671, 6.64114576153",84
4200,Yverdon-les-Bains,Geldwechsel,voyageurs.yverdon@sbb.ch,Chemins de fer fédéraux suisse CFF,,avenue de la Gare,8,1400,Yverdon-les-Bains,Suisse,"46.781876671, 6.64114576153",85
4221,Neuchâtel,Gepäck,ne385@sbb.ch,Chemins de fer fédéraux suisse CFF,,Place de la Gare,1,2000,Neuchâtel,Suisse,"46.9967222076, 6.93570514491",86
4228,Twann,Drittverkauf,,,,,,,,,"47.0936555927, 7.15649171643",87
4300,Biel/Bienne,Geldwechsel,personenverkehr.biel@sbb.ch,Schweizerische Bundesbahnen SBB,1168,Bahnhofplatz,4,2501,Biel/Bienne,Schweiz,"47.1328920532, 7.24290845288",88
4314,La Chaux-de-Fonds,Gepäck,voyageurs.la-chaux-de-fonds@cff.ch,Chemins de fer fédéraux suisse CFF,,Place de la Gare,6,2300,La Chaux-de-Fonds,Suisse,"47.0986436492, 6.82601877705",89
4314,La Chaux-de-Fonds,Gepäckaufbewahrung,voyageurs.la-chaux-de-fonds@cff.ch,Chemins de fer fédéraux suisse CFF,,Place de la Gare,6,2300,La Chaux-de-Fonds,Suisse,"47.0986436492, 6.82601877705",90
4388,Les Ponts-de-Martel,"Billette, Abonnemente, Freizeitangebote",gare.ponts@transn.ch,,,,,,,,"46.9996362786, 6.73587463416",91
4398,Neuchâtel Place Pury,"Billette, Abonnemente, Freizeitangebote",Gare.NE@transn.ch,Transports publics neuchâtelois,,rue des Flandres,1,2000,Neuchâtel,,"46.9894117178, 6.92818869178",92
4414,Lyss,"Billette, Abonnemente, Freizeitangebote",reisebuero.lyss@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,16,3250,Lyss,Schweiz,"47.0763151407, 7.30629081519",93
4461,Nidau,"Billette, Abonnemente, Freizeitangebote",nidau@asmobil.ch,Aare Seeland mobil AG,,Hauptstrasse,93,2560,Nidau,,"47.1240128541, 7.24217672769",94
4489,Bern Bümpliz Nord,Gepäck,buempliz@bls.ch,BLS,,Mühledorfstrasse,20,3018,Bern,,"46.9458272511, 7.38974518517",95
4881,"Fribourg, gare","Billette, Abonnemente, Freizeitangebote",frix100@rail.ch,,,,,,,,"46.8035531906, 7.15034050058",96
5000,Luzern,Beratung & Verkauf,,Schweizerische Bundesbahnen SBB,Postfach,,,6002,Luzern,,"47.0501697679, 8.31017092011",97
5000,Luzern,Check-in am Bahnhof,,Schweizerische Bundesbahnen SBB,Postfach,,,6002,Luzern,,"47.0501697679, 8.31017092011",98
5000,Luzern,Fundservice,gepaeck.luzern@sbb.ch,Schweizerische Bundesbahnen SBB,Postfach,,,6002,Luzern,,"47.0501697679, 8.31017092011",99
5000,Luzern,Kundendienst,,Schweizerische Bundesbahnen SBB,Postfach,,,6002,Luzern,,"47.0501697679, 8.31017092011",100
10,Basel SBB,Check-in am Bahnhof,gepaeckaufgabe.basel@sbb.ch,Schweizerische Bundesbahnen SBB,,Centralbahnstrasse,20,4051,Basel,Schweiz,"47.5474041527, 7.58955146721",101
10,Basel SBB,Gruppenreisen,gruppenreisen.basel@sbb.ch,Schweizerische Bundesbahnen SBB,,Centralbahnstrasse,20,4051,Basel,Schweiz,"47.5474041527, 7.58955146721",102
20,Muttenz,Drittverkauf,muttenz@avec.ch,avec.,,Bahnhofstrasse 62,,4132,Muttenz,,"47.5335803903, 7.64787914262",103
20,Muttenz,Gepäck,muttenz@avec.ch,avec.,,Bahnhofstrasse 62,,4132,Muttenz,,"47.5335803903, 7.64787914262",104
21,Pratteln,"Billette, Abonnemente, Freizeitangebote",reisebuero.pratteln@sbb.ch,Schweizerische Bundesbahnen SBB,,Güterstrasse 10,,4133,Pratteln,Schweiz,"47.522657608, 7.69080243836",105
21,Pratteln,Gepäckaufbewahrung,reisebuero.pratteln@sbb.ch,Schweizerische Bundesbahnen SBB,,Güterstrasse 10,,4133,Pratteln,Schweiz,"47.522657608, 7.69080243836",106
21,Pratteln,Gruppenreisen,reisebuero.pratteln@sbb.ch,Schweizerische Bundesbahnen SBB,,Güterstrasse 10,,4133,Pratteln,Schweiz,"47.522657608, 7.69080243836",107
26,Sissach,Western Union,reisebuero.sissach@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhof,,4450,Sissach,Schweiz,"47.4627456535, 7.81201832437",108
27,Gelterkinden,Drittverkauf,avec.gelterkinden@avec.ch,avec. Gelterkinden,,Bahnhofstrasse,12,4460,Gelterkinden,,"47.4658812396, 7.84765271265",109
87,Waldenburg,Drittverkauf,,,,,,,,,"47.3862834336, 7.74884124008",110
100,Tavannes,Eventtickets,gare.tavannes@sbb.ch,Chemins de fer fédéraux suisse CFF,,Place de la Gare,8,2710,Tavannes,Suisse,"47.2198385551, 7.20163489763",111
105,Moutier,Gepäck,voyageurs.moutier@cff.ch,Chemins de fer fédéraux suisse CFF,328,Avenue de la Gare,22,2740,Moutier,Suisse,"47.2806661619, 7.38103944266",112
109,Delémont,Gepäck,voyageurs.delemont@sbb.ch,Chemins de fer fédéraux suisse CFF,,Place de la gare,11,2800,Delémont,Suisse,"47.3620006555, 7.35005384248",113
118,Dornach-Arlesheim,Western Union,reisebuero.dornach@sbb.ch,Schweizerische Bundesbahnen SBB,,Amthausstrasse,1,4143,Dornach,,"47.488608339, 7.61110691339",114
123,Glovelier,"Billette, Abonnemente, Freizeitangebote",gare.glovelier@sbb.ch,Chemins de fer fédéraux suisse CFF,,Rue de la Gare,7,2855,Glovelier,Suisse,"47.3352002384, 7.20929652415",115
126,Porrentruy,Fundservice,voyageurs.porrentruy@sbb.ch,Chemins de fer fédéraux suisse CFF,,Place de la Gare,4,2900,Porrentruy,Suisse,"47.420909698, 7.08007451034",116
191,Saignelégier,Geldwechsel,gare-saignelegier@les-cj.ch,Chemins de fer du Jura,,Rue de la Gare,11,2350,Saignelégier,,"47.2546721635, 6.99450359036",117
191,Saignelégier,Reisebüro KTU,info@novicar.ch,Chemins de fer du Jura,,Rue de la Gare,11,2350,Saignelégier,,"47.2546721635, 6.99450359036",118
207,Solothurn,"Billette, Abonnemente, Freizeitangebote",bahnhof.solothurn@sbb.ch,Schweizerische Bundesbahnen SBB,,Dornacherstrasse 48,,4500,Solothurn,,"47.2041807751, 7.54268420304",119
207,Solothurn,Geldwechsel,bahnhof.solothurn@sbb.ch,Schweizerische Bundesbahnen SBB,,Dornacherstrasse 48,,4500,Solothurn,,"47.2041807751, 7.54268420304",120
212,Oensingen,Geldwechsel,bahnhof.oensingen@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhof,,4702,Oensingen,,"47.2850232125, 7.70985469445",121
212,Oensingen,Gepäck,bahnhof.oensingen@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhof,,4702,Oensingen,,"47.2850232125, 7.70985469445",122
212,Oensingen,Western Union,bahnhof.oensingen@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhof,,4702,Oensingen,,"47.2850232125, 7.70985469445",123
218,Olten,Fundservice,bahnhof.olten@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse 22,,4600,Olten,,"47.3519295325, 7.907688105",124
218,Olten,Gepäck,bahnhof.olten@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse 22,,4600,Olten,,"47.3519295325, 7.907688105",125
301,Rheinfelden,Eventtickets,reisebuero.rheinfelden@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhof,,4310,Rheinfelden,Schweiz,"47.5512096146, 7.79215393064",126
301,Rheinfelden,Western Union,reisebuero.rheinfelden@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhof,,4310,Rheinfelden,Schweiz,"47.5512096146, 7.79215393064",127
305,Frick,"Billette, Abonnemente, Freizeitangebote",reisebuero.frick@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,2,5070,Frick,Schweiz,"47.5073437467, 8.01307225263",128
305,Frick,Gepäck,reisebuero.frick@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,2,5070,Frick,Schweiz,"47.5073437467, 8.01307225263",129
309,Brugg AG,Western Union,info@bgu.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,2,5200,Brugg,,"47.4808528316, 8.20882744791",130
1008,Genève,Businesspoint,voyageurs.geneve@sbb.ch,Chemins de fer fédéraux suisse CFF,,Place Cornavin,7,1201,Genève,Suisse,"46.2102022669, 6.14245302875",131
1026,Genève-Aéroport,Eventtickets,,Chemins de fer fédéraux suisse CFF,321,Route de l'Aéroport,25,1215,Genève,Suisse,"46.2325293452, 6.11198571992",132
1026,Genève-Aéroport,Gepäck,voyageurs.geneve-aeroport@sbb.ch,Chemins de fer fédéraux suisse CFF,321,Route de l'Aéroport,25,1215,Genève,Suisse,"46.2325293452, 6.11198571992",133
1026,Genève-Aéroport,Western Union,voyageurs.geneve-aeroport@sbb.ch,Chemins de fer fédéraux suisse CFF,321,Route de l'Aéroport,25,1215,Genève,Suisse,"46.2325293452, 6.11198571992",134
1075,Lausanne-Ouchy,"Billette, Abonnemente, Freizeitangebote",ouchy@cgn.ch,,,,,,,,"46.5056615356, 6.62686230013",135
1120,Lausanne,Check-in am Bahnhof,lausanne.bagages_vente@cff.ch,Chemins de fer fédéraux suisse CFF,Case Postale 705,,,1001,Lausanne 1,Suisse,"46.5167786487, 6.62909314109",136
1120,Lausanne,Gepäck,lausanne.bagages_vente@cff.ch,Chemins de fer fédéraux suisse CFF,Case Postale 705,,,1001,Lausanne 1,Suisse,"46.5167786487, 6.62909314109",137
1120,Lausanne,Gepäckaufbewahrung,lausanne.bagages_vente@cff.ch,Chemins de fer fédéraux suisse CFF,Case Postale 705,,,1001,Lausanne 1,Suisse,"46.5167786487, 6.62909314109",138
1120,Lausanne,Velovermietung,lausanne.bagages_vente@cff.ch,Chemins de fer fédéraux suisse CFF,Case Postale 705,,,1001,Lausanne 1,Suisse,"46.5167786487, 6.62909314109",139
1121,Pully,Geldwechsel,x002039@sbb.ch,Chemins de fer fédéraux suisse CFF,,Place de la Gare,1,1009,Pully,Suisse,"46.5109189922, 6.65946254087",140
1157,Sentier-Orient,"Billette, Abonnemente, Freizeitangebote",lesentier@travys.ch,,,,,,,,"46.6057654715, 6.23139574664",141
1157,Sentier-Orient,Gepäck,lesentier@travys.ch,,,,,,,,"46.6057654715, 6.23139574664",142
1173,Echallens,Gepäck,gare.echallens@rail.ch,LEB,,Place de la Gare,9,1040,Echallens,Suisse,"46.6395002737, 6.6325409066",143
1181,Lausanne-Flon,"Billette, Abonnemente, Freizeitangebote",PDV.Flon@t-l.ch,Centre clientèle T-L,,Place de l'Europe,5B,1003,Lausanne,,"46.5207908619, 6.63034932302",144
1200,Vevey,Eventtickets,ventevoyageurs.vevey@cff.ch,Chemins de fer fédéraux suisse CFF,,Place de la Gare,3,1800,Vevey,Suisse,"46.4629974303, 6.84345000982",145
1200,Vevey,Geldwechsel,ventevoyageurs.vevey@cff.ch,Chemins de fer fédéraux suisse CFF,,Place de la Gare,3,1800,Vevey,Suisse,"46.4629974303, 6.84345000982",146
1200,Vevey,Western Union,ventevoyageurs.vevey@cff.ch,Chemins de fer fédéraux suisse CFF,,Place de la Gare,3,1800,Vevey,Suisse,"46.4629974303, 6.84345000982",147
1214,EPFL Agence CFF (Renens),DHL / PickPost,agence_cff.epfl@sbb.ch,Chemins de fer fédéraux suisse CFF,,Bâtiment CM 1 364 / Station 10,,1015,Lausanne,,"46.5221954241, 6.56614192874",148
1300,Montreux,"Billette, Abonnemente, Freizeitangebote",montreux.voyageurs@sbb.ch,Chemins de fer fédéraux suisse CFF,1243,Av. des Alpes,74,1820,Montreux,Suisse,"46.4358743527, 6.91043275261",149
