didok;stationsbezeichnung;schliessfach_wert;schliessfach_zeit;naechste_dienststelle;entfernung;rollstuhl_billet;rollstuhl_wc;rollstuhl_verlad;mobilift;stufenloser_perronzugang;bats;autelca;automat_ktu;geopos
103;Sorvilier;;;Malleray-Bévilard;2.0;0;0;0;0;0;;0;1;47.2392372997, 7.30576524542
104;Court;;;Moutier;6.0;0;0;0;0;0;;0;1;47.2405870125, 7.34209529907
111;Liesberg;;;Laufen;6.0;;;;;;;;;47.39820125, 7.43896934637
116;Duggingen;;;Dornach-Arlesheim;4.0;0;0;0;0;1;;0;1;47.4534348999, 7.60344839068
119;Münchenstein;;;Basel SBB;5.0;0;1;0;0;1;Tramhaltestelle hinter dem Bahnhof;0;1;47.5133857839, 7.61758557051
121;Courfaivre;;;Courtételle;3.0;0;0;0;0;0;;0;1;47.3350738097, 7.29115599382
121;Courfaivre;;;Bassecourt;4.0;0;0;0;0;0;;0;1;47.3350738097, 7.29115599382
124;St-Ursanne;;;;;0;0;0;0;1;;0;1;47.3676921488, 7.16594419056
127;Courtemaîche;;;Porrentruy;5.0;0;0;0;0;0;;0;1;47.4558625333, 7.05537172567
127;Courtemaîche;;;Boncourt;6.0;0;0;0;0;0;;0;1;47.4558625333, 7.05537172567
128;Boncourt;;;;;0;0;0;0;1;;0;1;47.4926207616, 7.01654285948
144;Buix;;;Porrentruy;9.0;0;0;0;0;0;;0;1;47.4793218519, 7.02995536103
144;Buix;;;Boncourt;2.0;0;0;0;0;0;;0;1;47.4793218519, 7.02995536103
162;Tramelan-Dessous;;;Tavannes;9.0;0;0;0;0;1;;0;0;47.2224355703, 7.11267512786
164;Tramelan-Chalet;;;Tramelan;2.0;0;0;0;0;1;;;0;47.2234556821, 7.09244154101
165;Pied-d'Or, Le;;;Les Breuleux;5.0;0;0;0;0;1;;0;0;47.2220366657, 7.05627482585
167;Les Breuleux-Eglise;;;Le Noirmont;5.0;0;0;0;0;1;;0;0;47.2131106665, 7.00240069564
171;Reussilles, Les;;;Tramelan;3.0;0;0;0;0;1;Bus pour St-Imier, Saignelégier et Glovelier place de la gare;;0;47.2242377187, 7.08344492187
173;Les Breuleux;;;Tramelan;10.0;0;0;0;0;1;;;0;47.2104316521, 7.00515503722
176;Boéchet, Le;;;Le Noirmont;5.0;0;0;0;0;1;;;0;47.1942390773, 6.92209827078
179;Cibourg, La;;;Ferrière, La;4.0;0;0;0;0;1;;;0;47.1221175965, 6.88365582489
182;Seignat, Le;;;Ferrière, La;2.0;;;;;;;;;47.1336868912, 6.88585551657
183;Bellevue;;;Ferrière, La;6.0;0;0;0;0;1;;0;0;47.1182980381, 6.86424550606
184;La Chaux-de-Fonds-Est;;;La Chaux-de-Fonds;2.0;0;0;0;0;1;;;0;47.1034790888, 6.8371611784
186;Alle;;;Porrentruy;5.0;0;1;1;0;1;Photocopieur;0;0;47.4241348211, 7.12833347606
187;Vendlincourt;;;Bonfol;3.0;0;0;0;0;1;;0;0;47.4525391792, 7.1566498611
187;Vendlincourt;;;Alle;5.0;0;0;0;0;1;;0;0;47.4525391792, 7.1566498611
190;Emibois, Les;;;Le Noirmont;3.0;0;0;0;0;1;;0;0;47.2323473003, 6.98531374061
191;Saignelégier;;;;;0;0;1;1;1;;0;1;47.2546721635, 6.99450359036
192;Bémont, Le;;;Saignelégier;2.0;0;0;0;0;1;;0;0;47.2632557755, 7.01425173747
198;Sceut;;;Glovelier;14.0;;;;;;;;;
201;Lengnau;;;Grenchen Nord SBB;3.0;0;0;0;0;0;;0;1;47.1794233382, 7.36654652735
203;Bettlach;;;Grenchen Süd;2.0;0;0;0;0;0;;0;1;47.1949438967, 7.42836206864
204;Selzach;;;Solothurn;7.0;0;0;0;0;1;Altreu BSG zu Fuss 20 Minuten;0;1;47.2006188377, 7.45662984225
209;Deitingen;;;Oensingen;12.0;0;0;0;0;0;;0;1;47.218217892, 7.61889907416
209;Deitingen;;;Solothurn;8.0;0;0;0;0;0;;0;1;47.218217892, 7.61889907416
214;Egerkingen;;;Oensingen;7.0;0;0;0;0;0;Perron 1 überschreiten des Rampengleises nötig;0;1;47.3148575546, 7.79894973749
216;Wangen bei Olten;;;Olten;3.0;0;0;0;0;0;;0;1;47.3413970205, 7.86834787109
217;Olten Hammer;;;Wangen bei Olten;3.0;0;0;0;0;0;;0;0;47.3485517008, 7.8977062126
220;Dotzigen;;;Büren an der Aare;3.0;0;0;0;1;1;;0;0;47.1186594616, 7.33774490357
221;Büren an der Aare;;;Grenchen Süd;8.0;0;0;0;0;1;Busse Solothurn u.Lyss/Bern ab Bahnhofplatz. Bus Grenchen ab Zentrum/Hauptstrasse.;0;0;47.1381491319, 7.37122978062
264;Oberdorf SO;3.0;;;;0;0;1;1;0;Seilbahn Weissenstein, 20m ab Bahnhof;0;0;47.2359833227, 7.49376377031
275;Bei den Weihern;;;Solothurn;4.0;0;0;0;0;0;;0;0;47.2283885219, 7.56657797113
284;Hinteres Riedholz;;;Solothurn;5.2;0;0;0;0;1;;0;0;47.2353199052, 7.58473958008
285;Flumenthal;;;Wiedlisbach;5.0;0;0;0;0;0;;0;0;47.23916293, 7.59667596096
286;Attiswil;;;Solothurn;8.0;0;0;0;0;1;;0;0;47.2464058372, 7.61386872659
287;Wiedlisbach;;;Solothurn;10.0;0;1;1;0;1;Perron auf Einstiegshöhe, Niederflur- Züge;0;0;47.2528826303, 7.64609688367
288;Oberbipp;;;Niederbipp;3.0;0;0;0;0;0;;0;0;47.2596459126, 7.6609734596
292;Klus;;;Balsthal;2.0;0;1;0;0;1;;0;0;47.3034784151, 7.69475500483
293;Thalbrücke;;;Balsthal;1.0;0;1;0;0;1;;0;0;47.3085475984, 7.68822003742
294;Balsthal;;;;;0;1;0;0;1;;0;0;47.3128885029, 7.69391394062
300;Kaiseraugst;;;Rheinfelden;5.0;0;0;0;0;1;;0;1;47.5384906334, 7.72412101576
301;Rheinfelden;5.0;;;;1;1;1;1;1;Alle Züge fahren ab Gleis 3 oder 4;0;2;47.5512096146, 7.79215393064
321;Sisseln;;;Laufenburg;5.0;;;;;;;;;47.5456297763, 7.99308231111
754;Brislach, Post;;;;;;;;;;;;;47.4196696487, 7.54228007716
761;Herbetswil, Post;;;;;;;;;;;;;47.2954841312, 7.59198973997
773;Welschenrohr, Post;;;;;;;;;;;;;47.2806387354, 7.52719591741
774;Mümliswil, Post;;;;;;;;;;;;;47.3412924949, 7.70213447274
783;Magden, Post;;;;;;;;;;;;;47.5275816342, 7.81259256389
852;Reigoldswil, Dorfplatz;;;;;;;;;;;;;47.397395055, 7.69184060204
855;Bubendorf, Bad;;;;;;;;;;;;;47.4596490447, 7.74205349729
865;St-Brais, poste;;;Glovelier;19.0;;;;;;;;;47.3054103411, 7.11245739645
882;Lajoux JU, Laiterie;;;;;;;;;;;;;47.2769905324, 7.13317001745
1003;Satigny;;;Genève-Aéroport;7.0;0;0;0;1;1;;0;1;46.2142202175, 6.0375091428
1013;Pont-Céard;;;Versoix;1.0;0;0;0;0;1;;0;1;46.287391434, 6.16267245042
1014;Mies;;;Genève;11.0;0;0;0;0;0;;0;1;46.2998757136, 6.1695702204
1020;Chambésy;;;Versoix;4.0;0;0;0;0;0;;0;1;46.2423769792, 6.14733924476
1021;Genthod-Bellevue;;;Versoix;3.0;0;0;0;0;1;;0;1;46.2567305087, 6.15396312897
7157;Beatushöhlen-Sundlauenen;;;Interlaken West;10.0;;;;;;;;;46.684991809, 7.78995710952
7162;Längenschachen ThS;;;;;;;;;;;;;46.7254430719, 7.67944806875
7170;Steffisburg Dorf, Post;;;;;;;;;;;;;46.777306834, 7.63438761518
7180;Thun, Bahnhof;;;;;;;;;;;;;46.7551316496, 7.62989665848
7187;Neuhaus (Unterseen), STI;;;Gunten, Dorf;12.0;;;;;;;;;46.6794214576, 7.81870136536
7194;Vorsass;;;Interlaken West;25.0;;;;;;;;;46.7005321649, 7.77022293743
7251;Seidenberg;;;Bern RBS;4.0;;;;;;;;0;46.9330167043, 7.49252577674
7274;Blankenburg;;;Zweisimmen;2.0;0;0;0;0;1;;0;1;46.5411031578, 7.38532055303
7287;Burgholz;;;Wimmis;3.0;0;0;0;0;1;;0;0;46.6664830826, 7.60558019948
7289;Spiezmoos Süd;;;Spiez;1.0;0;0;0;0;0;;0;0;46.6916934954, 7.66087812772
7295;Därstetten;;;Erlenbach im Simmental;6.0;0;0;0;0;0;;0;0;46.6588632282, 7.49541861753
1884;Fouly VS, La;;;;;;;;;;;;;45.9340730225, 7.09856096616
1891;Crosets, Les, télécabine;;;Champéry-Village;15.0;;;;;;;;;46.1839460421, 6.8351205739
1895;Binn, Dorf;;;;;;;;;;;;;46.3640628282, 8.18288843984
1896;Ernen, Dorfplatz;;;;;;;;;;;;;46.3985211531, 8.14576939074
1899;Sanetsch, barrage;;;;;;;;;;;;;46.3595915633, 7.29522671194
1961;Simplon Dorf, Post;;;;;;;;;;;;;46.19567939, 8.05516538063
2000;Aarburg-Oftringen;;;Zofingen;5.0;0;0;1;1;1;;0;1;47.3202667174, 7.90820373354
2002;Brittnau-Wikon;;;Zofingen;3.0;0;0;0;0;0;;0;1;47.2626629521, 7.95702232358
2003;Reiden;;;;;0;0;1;1;0;;0;1;47.2414629092, 7.96875676951
2004;Dagmersellen;;;Nebikon;3.0;0;0;0;0;0;Toiletten geschlossen;0;1;47.2175519872, 7.97901545049
2008;Nottwil;;;Emmenbrücke;15.0;0;0;1;1;1;;0;1;47.1388047171, 8.13858805823
2010;St. Erhard-Knutwil;;;Sursee;2.0;0;0;0;0;0;;0;1;47.1800770071, 8.07456185019
2012;Rothenburg Dorf;;;Emmenbrücke;3.0;0;0;0;0;1;;0;1;47.0909062076, 8.27317678808
2017;Waldibrücke;;;Hochdorf;8.0;0;0;0;0;1;;0;0;47.1078933281, 8.31968694103
2029;Mosen;;;Hochdorf;12.0;0;0;0;0;0;;0;1;47.2442873199, 8.22414905535
2031;Hallwil-Dürrenäsch;;;Lenzburg;7.0;0;0;0;0;0;;0;1;47.3286359778, 8.17593763411
2033;Birrwil;;;Lenzburg;13.0;0;1;0;0;1;Hallwilersee-Marschweg 20 min;0;0;47.2878476573, 8.19899810707
2090;Büron, Triengenacker;;;;;;;;;;;;;47.2206270257, 8.08895970233
2095;Winikon, Post;;;;;;;;;;;;;47.2383927656, 8.05104650012
2113;Aarau;4.0;;;;1;1;1;1;1;"PTT/BBA ab Bahnhofplatz;; WSB ab Geleise 11-13";0;10;47.3913553369, 8.05125354274
2114;Rupperswil;;;Aarau;6.0;0;0;0;0;1;;0;1;47.4032880043, 8.12694494762
2116;Schinznach Bad;;;Brugg AG;5.0;0;0;0;0;0;;0;1;47.4517752695, 8.16692832223
2160;Gränichen;;;Aarau WSB;5.0;0;0;0;1;1;;0;0;47.3616635141, 8.09878046673
2161;Teufenthal AG;;;;;0;1;0;0;0;RBL-Kurse nach Dürrenäsch - Leutwil;0;0;47.3294078788, 8.11446902971
2162;Unterkulm;;;Schöftland;6.0;0;0;1;0;1;;0;0;47.3101283177, 8.11512431902
2163;Oberkulm;;;Gränichen;6.0;0;0;0;0;1;;0;0;47.299075091, 8.12404160612
2164;Gontenschwil;;;Zetzwil;1.0;0;1;0;0;1;;0;0;47.2804026188, 8.14479179126
2165;Zetzwil;;;Reinach AG;5.0;0;0;0;0;0;;0;0;47.2824208182, 8.15301377546
2169;Menziken;;;Reinach AG;1.0;0;1;1;1;1;;0;0;47.2409214644, 8.18930957917
2175;Mittelmuhen oder Obermuhen;;;Schöftland;4.0;0;0;0;0;0;;0;0;47.333561356, 8.0553665944
2186;Dietikon Stoffelbach;;;Dietikon;1.0;;;;;;;;0;47.3934061197, 8.39894288379
2197;Hirschthal;;;Muhen;3.0;0;0;0;1;0;;0;0;47.3198850798, 8.05281447083
2201;Gisikon-Root;;;Rotkreuz;4.0;0;0;0;0;1;;0;1;47.1213263146, 8.39477668629
2212;Dottikon-Dintikon;;;Wohlen;4.0;0;0;0;0;0;;0;1;47.3736425259, 8.23468774088
2216;Benzenschwil;;;Muri AG;4.0;0;0;0;0;0;;0;1;47.2468435811, 8.36559619501
2219;Oberrüti;;;Rotkreuz;6.0;0;0;0;0;0;;0;0;47.1659234421, 8.40476673935
2220;Urdorf;;;Schlieren;;0;0;0;1;1;;0;1;47.3908815923, 8.43471362358
2220;Urdorf;;;Zürich Altstetten;;0;0;0;1;1;;0;1;47.3908815923, 8.43471362358
2223;Hedingen;;;;;0;0;0;0;0;;0;1;47.2987825148, 8.44595351443
2226;Knonau;;;Zug;9.0;0;0;0;1;1;;0;1;47.2202591199, 8.4667085831
2263;Sarmenstorf BDWM/Autwm;;;Villmergen;5.0;;;;;;;;;
2270;Bergfrieden;;;Berikon-Widen;5.0;;;;;;;;0;47.3977134679, 8.39908674756
2274;Zufikon;;;Bremgarten;1.0;;;;;;;;0;47.3525236772, 8.35471313744
2277;Rudolfstetten;;;Berikon-Widen;2.0;;;;;;;;0;47.3700256744, 8.38179910885
2278;Reppischhof;;;Bremgarten;4.0;;;;;;;;0;47.3847205903, 8.39634948159
2283;Nidfuren;;;;;;;;;;;;;47.1730726116, 8.56343526722
2286;Unterägeri, Station;;;Zug;11.0;;;;;;;;0;47.1376282405, 8.58180643606
2287;Oberägeri, Station;;;Baar;14.0;0;1;1;0;0;;;0;47.134093153, 8.61125973091
2289;Menzingen ZVB;;;;;;;;;;;;0;
2705;Windisch, Kath. Kirche;;;;;;;;;;;;;47.4748600351, 8.2132512239
2752;Hägglingen, Schulhaus;;;;;;;;;;;;;47.3868959831, 8.25471241534
2758;Hausen am Albis, Post;;;;;;;;;;;;;47.2447459716, 8.53297657379
2762;Oberalbis, Passhöhe;;;;;;;;;;;;;47.2761479933, 8.52069344417
2867;Raten;;;;;;;;;;;;;47.1420474011, 8.66371069686
2887;Reitnau, Post;;;;;;;;;;;;;47.2511849677, 8.04565788351
3004;Zürich Tiefenbrunnen;;;Zürich Stadelhofen;2.0;0;0;1;0;1;Tram/Bus VBZ vis-à-vis Gleis 1;0;1;47.3501235091, 8.56137239898
3004;Zürich Tiefenbrunnen;;;Küsnacht ZH;3.0;0;0;1;0;1;Tram/Bus VBZ vis-à-vis Gleis 1;0;1;47.3501235091, 8.56137239898
3010;Zürich Enge;5.0;;;;0;0;1;1;1;Lift zu Gleis 2 von Brücke Bederstrasse aus direkt auf Gleis 2;0;2;47.3640983597, 8.53080595476
3015;Zürich Wipkingen;;;Zürich Altstetten;2.0;0;0;1;0;0;;0;1;47.3930313233, 8.52935905447
3056;Ringlikon;;;Zürich HB;8.0;0;0;0;0;1;;0;0;47.3602286526, 8.47737666964
3062;Egg;;;Uster;10.0;0;0;1;0;1;;;0;47.301506634, 8.68961370345
3069;Zürich Rehalp;;;Zürich Stadelhofen;3.0;0;0;0;0;1;;0;0;47.3510155588, 8.58320425499
3074;Neue Forch;;;Zumikon;2.0;0;0;0;0;0;;0;0;47.3258135195, 8.637845582
3081;Felsenegg;;;Adliswil;2.0;0;0;0;1;1;;0;0;47.310139154, 8.50741616984
3089;Wildpark-Höfli;;;Langnau-Gattikon;1.0;0;0;0;0;1;;0;0;47.2965700423, 8.53565212007
3089;Wildpark-Höfli;;;Adliswil;3.0;0;0;0;0;1;;0;0;47.2965700423, 8.53565212007
3094;Zürich Leimbach;;;Zürich HB;6.0;0;0;0;0;1;;0;0;47.3346006314, 8.51960324631
3098;Sihlwald;;;Langnau-Gattikon;4.0;0;0;0;0;0;;0;0;47.2682765216, 8.55749769881
3099;Sihlau;;;Adliswil;1.0;0;0;0;0;1;;0;0;47.3031541512, 8.52524782713
3103;Herrliberg-Feldmeilen;;;Erlenbach ZH;3.0;0;0;1;0;1;;0;1;47.2818232851, 8.61271954112
3112;Kempraten;;;Rüti ZH;5.0;0;0;0;0;0;;0;1;47.2383929337, 8.81429184846
3114;Bollingen;;;Schmerikon;5.0;;;;;;;;;47.2173491325, 8.87920107226
3120;Jona;;;Stäfa;9.0;0;0;0;0;0;;0;2;47.230969801, 8.8345980429
3121;Rüti ZH;;;;;0;0;1;1;1;VZO- und BRER - Busse verkehren ab Bahnhofplatz;0;3;47.2604821005, 8.8540677825
3124;Aathal;;;Wetzikon;3.0;0;0;0;0;1;;0;1;47.3359563788, 8.76561022548
3130;Hinwil;;;Wetzikon;4.0;0;0;1;1;1;;0;1;47.3000509, 8.83969785564
3141;Küsnacht Goldbach;;;Zürich Tiefenbrunnen;3.0;0;0;0;0;1;;0;1;47.3268539021, 8.57595174932
3147;Stettbach;;;Zürich Stadelhofen;5.0;0;0;0;1;1;"Tram 7
Busse 743, 744, 751, 752, 760, 787, 796";0;2;47.3972121248, 8.59613281648
3147;Stettbach;;;Dübendorf;2.0;0;0;0;1;1;"Tram 7
Busse 743, 744, 751, 752, 760, 787, 796";0;2;47.3972121248, 8.59613281648
3196;Wolfhausen, Post;;;;;;;;;;;;;47.2572227717, 8.80131231004
3206;Wädenswil;3.0;;;;1;1;1;1;1;;0;2;47.2293011038, 8.67519275897
3207;Richterswil;3.0;;;;0;0;1;1;1;;0;1;47.2083677131, 8.70746042267
3209;Pfäffikon SZ;3.0;;;;1;1;1;1;1;"Gleis 2/3, 5/6 Perrongleich
Postauto und Ortsbus ab Busbahnhof hinter Güterschuppen";0;2;47.2029974467, 8.77811068503
3223;Reichenburg;;;Uznach;12.0;0;0;0;0;0;Postautos fahren ab Güterschuppen;0;1;47.1726951083, 8.98230203354
3226;Nieder- und Oberurnen;;;Glarus;8.0;0;0;1;0;1;;0;1;47.122362606, 9.0623744371
3234;Nidfurn-Haslen;;;Schwanden;2.0;0;0;0;0;0;;0;1;46.9858964537, 9.05925879887
3260;Linthal Braunwaldbahn;;;Schwanden;12.0;0;1;1;0;1;;0;1;46.9285400594, 9.00231658206
3272;Engi, Vorderdorf;;;;;;;;;;;;;46.9843658171, 9.14489306287
3273;Engi, Hinterdorf;;;;;;;;;;;;;46.9750562589, 9.15916199703
1683;Stalden-Saas;;;Visp;8.0;0;0;1;1;0;;0;0;46.2319774852, 7.87076552269
1686;Herbriggen;;;St. Niklaus;6.0;;;;;;;;;46.1321479991, 7.79164351189
1688;Täsch;;;St. Niklaus;14.0;0;0;1;1;1;;0;0;46.0674587948, 7.77451598603
1690;Zermatt GGB;;;Zermatt;0.0;1;1;1;0;1;Rollstuhlgänge Toiletten gegenüber im Bahnhof Zermatt MGB vorhanden;0;0;46.023949225, 7.74868091973
1691;Riffelalp;;;Zermatt GGB;4.0;;;;;;;;0;46.0048989646, 7.75435623172
1692;Riffelberg;;;Zermatt GGB;7.0;;;;;;;;;45.9929508442, 7.75510046843
1752;Ayer, poste;;;;;;;;;;;;;46.1770963778, 7.60434748255
1758;Comballaz, La, poste;;;;;;;;;;;;;46.3799222377, 7.08363157008
1773;Huteggen;;;;;;;;;;;;;46.1846486692, 7.90311903898
1788;Verbier, station poste;;;;;;;;;;;;;46.0966793681, 7.22829666686
1793;Col-du-Pillon;;;;;;;;;;;;;46.353819577, 7.20561278737
1794;Bürchen, Tourismusbüro;;;;;;;;;;;;;
1796;Eisten, Post;;;;;;;;;;;;;46.2004785628, 7.89268237653
1798;Granois;;;;;;;;;;;;;46.2495477763, 7.33605268227
1864;Col-de-la-Forclaz;;;;;;;;;;;;;46.0578108324, 7.001097735
1870;Aubonne, gare;;;;;0;0;0;0;0;;0;0;46.4940199896, 6.39282668997
7356;Wengen LWM;;;Wengen;0.2;;;;;;;;;46.6063023928, 7.92157718071
7363;Eismeer;;;Kleine Scheidegg;2.0;;;;;;;;;46.5723381628, 8.01017197089
7371;Männlichen GGM;;;;;;;;;;;;;46.6110592251, 7.94279273432
7380;Grindelwald;3.0;;;;1;1;1;1;1;;0;1;46.6243684278, 8.03331025897
7383;Lütschental;;;Grindelwald;5.0;0;0;0;0;0;;0;0;46.637101273, 7.94899077217
7384;Lauterbrunnen;3.0;;;;1;1;1;1;1;PostAuto nach Trümmelbachfälle-Stechelberg und Isenfluh sowie Luftseilbahn Lauterbrunnen BLM nach Mürren BLM verkehren ab Bahnhofplatz (50m zu Fuss ab Bahnhof Lauterbrunnen);0;2;46.5984335089, 7.90809093738
7386;Breitlauenen;;;;;;;;;;;;;46.6598439401, 7.89558459846
7389;Zweilütschinen;;;;;0;1;0;1;1;Gleiches Perron Gleis 2 + 3;0;0;46.6327053904, 7.89970407083
7452;Rinderberg;;;;;;;;;;;;;46.50848689, 7.35816230661
7454;Gimmelwald;;;;;;;;;;;;;46.5471361377, 7.8934870913
7475;Kandersteg;4.0;;;;1;1;1;1;1;"- Stufenloser Perronzugang (Lift/Rampe) NUR Gleis 1
- Regionalbus Kandertal und Ortsbus Kandersteg (Sommer Gasterntal) ab Bahnhofplatz";0;0;46.4955238841, 7.67126537052
7476;Blausee-Mitholz;;;Frutigen;9.0;0;0;0;0;0;An diesem Bahnhof hält nur noch ein Zug um 0.35 Uhr und nur zum Aussteigen. Reisende zum Blausee und in die Dörfer Blausee und Mittholz benutzen den AFA-Bus ab Frutigen oder Kandersteg.;0;0;46.5289699768, 7.6754881287
7477;Kandergrund;;;Kandersteg;8.0;0;0;0;0;0;An diesem Bahnhof halten keine Züge mehr. Reisende in das Dorf Kandergrund benutzen den AFA-Bus ab Frutigen oder Kandersteg.;0;0;46.5574040426, 7.66267592883
7480;Reichenbach im Kandertal;;;Frutigen;8.0;0;0;0;0;0;;0;0;46.6252278396, 7.69006225848
7488;Gwatt;;;Thun;5.0;0;0;0;0;1;;0;0;46.7254445638, 7.62008562765
7755;Griesalp, Kurhaus;;;;;;;;;;;;;46.5474963021, 7.76166012864
7758;Gurnigel, Bad;;;;;;;;;;;;;46.760840529, 7.44307372132
7760;Kiental, Post;;;;;;;;;;;;;46.5894465695, 7.72316962036
7763;Ried (Lötschen);;;;;;;;;;;;;46.4138786521, 7.80754540831
7768;Schwefelberg Bad;;;;;;;;;;;;;46.7157081041, 7.41652086973
7773;Fafleralp;;;;;;;;;;;;;46.434377894, 7.86230503999
7779;Wohlen b. Bern, Gemeindehaus;;;;;;;;;;;;;46.9711113414, 7.35648804669
7780;Riedli, Talstation Wiriehorn;;;;;;;;;;;;;46.6127269557, 7.53361873923
7851;Adelboden, Post;3.0;;;;0;1;1;0;1;Alle Busse fahren in der Halle ab;0;0;46.4936901019, 7.56029593916
7862;Aeschiried, Schulhaus;;;Spiez;14.0;;;;;;;;;46.6450011304, 7.72408836733
7880;Schwanden (Sigriswil), Post;;;Gunten, Dorf;9.0;;;;;;;;;46.7355085537, 7.71545983387
7976;Uettligen, Post;;;;;;;;;;;;;46.9877514114, 7.38486884283
8004;Lyssach;;;Hindelbank;3.0;0;0;0;0;0;Perronhöhe 55cm.;0;0;47.0637570394, 7.58131288633
8004;Lyssach;;;Burgdorf;3.0;0;0;0;0;0;Perronhöhe 55cm.;0;0;47.0637570394, 7.58131288633
8006;Wynigen;;;Herzogenbuchsee;11.0;0;0;0;0;0;;0;1;47.1051648822, 7.66349632611
8007;Riedtwil;;;Burgdorf;11.0;;;;;;;;;47.1401561067, 7.69327728585
8051;Bern Felsenau;;;Bern RBS;3.0;0;0;0;0;1;"Stufenloser Perronzugang: Fahrtrichtung Worblaufen = vorhanden (Personenlift) 
Fahrtrichtung Bern: Rollstuhllift Eurokey zwingend erforderlich, 
sonst Umwegfahrt via Bern resp. Unterzollikofen";0;0;46.968496817, 7.44424358473
8057;Schönbühl RBS;;;Worblaufen;7.0;0;0;0;0;1;;0;0;47.0204828024, 7.49780762519
8058;Urtenen;;;Schönbühl Einkaufszentrum (Shoppyland);3.0;0;0;0;0;1;;0;0;47.028891699, 7.50064512371
8059;Jegenstorf;;;;;0;1;0;1;1;RBS-Busse verkehren auf dem Bahnhofvorplatz;0;0;47.0476153289, 7.50777274234
8064;Bätterkinden;;;;;0;0;0;1;0;;0;0;47.1300169994, 7.53439602439
8066;Lohn-Lüterkofen;;;Jegenstorf;14.0;0;0;0;1;1;Buslinie 3 ab Bahnhofplatz;0;0;47.1629889082, 7.52695040748
8081;Burgdorf Steinhof;;;Burgdorf;3.0;0;0;1;0;0;;0;0;47.0522817401, 7.6182911443
8086;Utzenstorf;;;Bätterkinden;2.0;0;0;1;0;1;Bushaltestelle 150m vom Bahnhof entfernt.;0;0;47.1294777935, 7.5536509434
8154;Aarwangen Schloss;;;Niederbipp;8.0;0;0;0;0;1;;0;0;47.24518233, 7.76361003479
8155;Bannwil;;;Langenthal;6.0;0;1;0;0;1;;0;0;47.2443819331, 7.74035841864
8155;Bannwil;;;Niederbipp;5.0;0;1;0;0;1;;0;0;47.2443819331, 7.74035841864
8164;St. Urban Ziegelei;;;Langenthal;7.0;0;0;0;0;0;;0;0;47.2273259739, 7.83605879173
8166;Melchnau;;;Langenthal;12.0;;;;;;;;;
8182;Lotzwil;;;Huttwil;12.0;0;0;0;0;0;;0;0;47.189468459, 7.78838202309
8184;Lindenholz;;;Huttwil;11.0;0;0;0;0;0;;0;0;47.1546068976, 7.79052818456
8189;Eriswil, Station;;;Huttwil;7.0;0;0;0;0;0;;0;0;47.0800184139, 7.85080928509
8193;Aarwangen Vorstadt;;;Niederbipp;6.0;0;0;0;0;1;;0;0;47.2374969562, 7.77130252074
8193;Aarwangen Vorstadt;;;Langenthal;3.0;0;0;0;0;1;;0;0;47.2374969562, 7.77130252074
8201;Tägertschi;;;Münsingen;3.0;0;0;0;0;1;Perronhöhe 55cm.;0;0;46.8822805305, 7.58083441962
8216;Werthenstein;;;Wolhusen;2.0;0;0;0;0;1;;0;0;47.0570218141, 8.10185049058
8218;Malters;;;;;0;0;0;0;1;;0;0;47.0385765972, 8.18195273224
8219;Littau;;;Luzern;6.0;0;0;0;0;0;;0;0;47.0530610496, 8.2570965354
8252;Lädeli;;;Heimberg;2.0;0;0;0;0;1;Haltestelle;0;0;46.7815841533, 7.60902533528
8253;Heimberg;;;Oberdiessbach;8.0;0;0;1;0;1;;0;0;46.7908898209, 7.60602919342
8263;Bigenthal;;;Hasle-Rüegsau;9.0;0;0;0;0;0;Haltestelle;0;0;46.9656055791, 7.62358692559
8264;Schafhausen im Emmental;;;Hasle-Rüegsau;3.0;0;0;0;0;0;Haltestelle;0;0;46.9944937701, 7.65682908274
8268;Zollbrück;;;;;0;0;0;1;1;;0;0;46.9760888718, 7.74068139318
8269;Neumühle;;;Langnau;8.0;0;0;0;0;1;;0;0;46.9659376151, 7.74917849189
8273;Wasen im Emmental;;;Sumiswald-Grünen;6.0;0;1;0;0;1;;;0;47.0432810696, 7.79174670714
8282;Sumiswald, Forum;;;Sumiswald-Grünen;2.0;;;;;;;;0;47.0307829968, 7.75928824895
8286;Griesbach;;;Sumiswald-Grünen;3.0;0;0;0;0;0;;0;0;47.0443312186, 7.74211751504
8287;Mussachen;;;Huttwil;7.0;0;0;0;0;0;;0;0;47.0900222342, 7.77272006246
8292;Hüswil;;;Huttwil;7.0;0;0;0;0;0;;0;0;47.1285527507, 7.90572068956
8377;Goldswil BrS;;;Ringgenberg ZB;3.0;;;;;;;;;46.6938306315, 7.87928137223
8378;Giessbach See;;;Brienz;5.0;;;;;;;;;46.7348265988, 8.01946745561
8392;Dallenwil;;;Stans;4.0;0;0;1;0;1;Wirzwelibahn Entfernung ca. 10 Min.;0;1;46.9337794802, 8.39205809023
8394;Wolfenschiessen;;;Stans;8.0;0;0;1;0;1;Postauto Abfahrt ab Bahnhofplatz;0;1;46.9077595046, 8.39468155812
8397;Obermatt ZB;;;Engelberg;5.0;0;0;0;0;1;;0;0;
8397;Obermatt ZB;;;Wolfenschiessen;8.0;0;0;0;0;1;;0;0;
8456;Pilatus Kulm;;;;;;;;;;;;;46.9794316477, 8.25594844889
8462;Hertenstein SGV;;;Weggis;2.5;;;;;;;;;47.026889659, 8.40344755526
